,Quarter,House Construction Cost Index,No. of Units,Year
0,q1_2018,212.51323332496213,14816.0,2018
1,q1_2019,214.52566735379662,20324.0,2019
2,q1_2021,218.49051800014013,34511.0,2021
3,q2_2018,213.0039574557189,16351.0,2018
4,q2_2019,215.1178764306438,22139.0,2019
5,q2_2020,216.9016329702202,29810.0,2020
6,q3_2018,213.50990269430312,17536.0,2018
7,q3_2019,215.61479637789546,22721.0,2019
8,q3_2020,217.47637621366715,31862.0,2020
9,q3_2021,219.63034517221936,38174.0,2021
10,q4_2018,214.08795509468766,19134.0,2018
11,q4_2019,216.0092448597887,26015.0,2019
12,q4_2020,217.96039051589122,33815.0,2020
